Name,Value,Agility,Dribbling,Finishing,Shot power,Sprint speed,Interceptions,Marking
A. Koura,3.1,83,72,71,72,88,14,14
A. Mendy,3.2,64,62,73,76,67,29,16
G. Parreses,1.2,21,9,8,21,34,25,11
Gerard Valentín,2.8,90,75,32,41,92,60,64
Nildo Petrolina,2.1,77,71,58,75,86,63,51
A. Lucarelli,0.16,33,39,30,72,34,74,74
J. Paterson,3.0,89,72,67,66,82,32,20
R. Leipertz,3.1,67,72,71,73,81,27,19
Sandelas Júnior,2.1,62,61,46,68,63,74,66
I. Bangoura,1.9,70,63,76,75,74,22,25
C. Sheridan,2.4,62,69,71,72,73,16,16
S. Skrzybski,3.2,84,74,69,72,85,30,19
Diego Oliveira,2.5,55,72,74,69,60,56,24
E. Andrada,2.2,34,16,14,17,44,25,19
S. Kerk,3.2,73,73,62,80,68,31,31
Pedro Nuno,3.6,75,73,64,79,68,52,29
K. Bonifazi,3.6,49,44,30,43,66,69,74
William,2.2,74,71,69,77,78,68,66
D. Rosero Valencia,3.0,63,63,33,48,76,70,73
C. Janker,1.4,63,42,22,62,52,62,73
S. von Bergen,0.725,64,35,22,57,68,74,63
F. Macheda,2.9,75,69,70,73,73,35,20
S. Sidwell,1.2,64,66,67,76,40,73,70
Y. Chibsah,3.3,79,69,58,70,67,77,56
T. Schütz,1.8,64,59,44,68,65,70,66
S. Rizzato,1.0,82,68,43,72,89,63,59
Vadillo,3.5,88,80,66,61,92,39,19
Kim Min Jae,3.4,74,34,23,44,65,64,73
D. Opare,2.4,84,72,60,72,87,68,67
A. Gogia,2.9,88,73,68,70,72,28,31
E. Bekdemir,2.8,78,74,64,74,78,54,55
A. Gyurcsó,2.8,84,74,66,70,87,34,14
A. Marušić,2.6,66,73,66,74,83,68,67
M. Miyin,0.9,63,48,48,62,76,57,74
A. Cole,0.27,76,70,30,66,62,73,69
Pedro Júnior,2.3,85,73,68,66,92,23,28
Ryan Mendes,2.5,90,72,68,60,84,19,23
Babanco,2.0,61,70,50,80,82,68,64
D. Nugent,1.9,79,70,72,71,69,35,22
D. Jevtić,3.2,72,72,68,68,70,47,42
N. Fernández,0.16,58,19,12,23,44,28,13
G. Marilungo,2.5,83,76,69,69,78,25,19
B. Sarr,2.6,65,59,42,69,71,74,66
A. Sagal,3.2,72,65,76,73,78,61,54
N. Cardozo,2.2,79,74,59,66,80,59,60
C. Puggioni,0.325,68,20,18,19,34,20,15
A. Machado,1.4,59,45,27,42,62,76,74
Gégé,1.8,61,50,30,44,50,72,70
J. Tavares,2.4,69,63,73,71,66,14,13
E. Fernández,3.3,76,78,58,70,66,34,26
Flavio Paixão,1.8,80,73,69,70,72,43,24
M. Luongo,3.1,79,73,53,68,74,67,61
I. Hayden,3.0,60,64,47,58,64,68,69
Luis Couprins,1.8,81,58,57,80,74,77,63
D. Guerrero,1.8,55,69,42,62,53,71,67
C. Auzqui,2.8,79,70,69,77,82,42,32
R. Strieder,2.6,73,61,32,59,59,75,65
Raphael Martinho,2.3,82,70,58,70,92,60,49
Heitor Gesse,0.9,62,61,48,67,81,71,66
A. Özek,2.3,76,71,66,71,90,32,19
J. Marié,3.0,70,68,38,45,64,69,71
B. Celina,3.8,77,77,70,71,75,16,12
L. Cook,4.6,78,75,56,60,70,66,61
R. Matarrita,2.8,77,71,33,70,85,66,67
L. Vitale,1.8,73,64,52,73,75,65,64
D. Lévêque,2.2,68,57,30,56,69,72,72
K. Rowe,3.1,67,70,64,81,71,65,60
Y. Kashiwagi,2.3,65,67,66,67,64,53,41
M. Hascien,0.9,77,61,45,53,71,54,72
I. Močinić,3.2,75,69,51,52,70,84,67
Víctor Casadesús,1.9,69,65,66,76,61,34,30
J. Grimm,1.8,60,55,60,61,55,77,66
T. Moulin,2.2,75,65,55,72,41,65,65
B. Osborn,3.2,90,69,55,70,79,41,49
Vieiraldo Junior,2.1,60,67,30,74,68,68,71
Alam Lindeiro,0.9,78,66,41,43,69,77,62
P. Glykos,1.5,62,16,13,38,47,14,11
T. Costa,1.8,67,54,49,71,54,58,64
A. Rochat,0.725,63,59,52,72,70,65,65
Lins,2.4,81,74,70,71,80,32,19
Enzo Merques,0.9,72,74,57,71,77,64,57
P. Ziereis,2.7,55,54,24,40,82,69,69
J. Berthomier,2.5,81,70,69,75,68,57,56
Marlion Simões,2.0,76,72,50,73,86,73,57
Pedro Tiba,2.4,65,66,59,81,62,68,59
Juan Muñoz,3.2,69,68,70,77,64,20,12
J. Agudelo,3.1,79,73,69,73,78,32,29
M. Torsiglieri,1.8,41,45,39,58,38,70,72
P. Kieszek,1.2,32,14,20,20,46,23,14
M. Parediso,0.9,71,61,45,48,73,66,71
J. McEachran,3.1,81,72,0,68,73,0,66
K. Roofe,3.2,83,73,69,74,81,50,44
L. Cabrera,2.7,67,52,23,42,68,63,68
J. Campos,0.0,71,72,58,68,64,29,24
D. Royer,2.5,87,73,61,66,85,37,41
K. Lawrence,2.6,78,65,36,61,86,69,64
M. Caktaš,3.1,76,77,68,64,75,59,45
G. Sunu,2.8,76,74,72,77,74,36,29
D. Williams,2.4,74,76,66,80,75,69,66
R. Leeuwin,1.8,66,47,36,50,73,70,70
R. Espinoza,2.2,72,71,62,81,65,70,69
Tyronne,2.8,79,77,60,54,74,49,21
João Pedro,3.0,75,68,58,78,72,69,69
A. Rivas,1.4,65,67,55,67,71,57,74
U. Bech,3.1,85,73,72,64,78,18,16
Lionn,1.9,71,67,49,71,79,71,66
J. Larsson,2.2,79,64,60,72,81,69,55
J. Schlupp,2.6,81,74,56,74,89,65,68
André Leal,3.7,85,72,56,73,73,59,42
R. Shotton,1.9,59,58,50,65,66,66,73
F. Bellugou,1.8,52,64,30,59,37,72,72
S. Motta,1.4,85,67,66,60,65,57,55
M. Coda,2.4,60,64,77,70,58,26,17
W. Mesloub,1.6,78,74,68,72,68,62,64
R. Schoofs,3.1,72,64,57,71,64,67,47
V. Afonin,1.8,71,65,44,68,65,74,68
E. Nabiullin,3.1,72,73,41,30,91,61,72
Vitinho,5.0,67,73,68,64,70,28,42
V. Di Cesare,0.725,30,54,48,58,38,67,73
I. Sylla,3.1,67,69,64,65,71,68,69
S. Adegbenro,3.7,86,75,67,67,86,26,34
Montoro,1.8,63,64,54,72,45,71,60
Cyriac,2.8,88,71,71,70,85,24,13
D. Chará,1.6,76,68,56,72,66,65,67
A. Grassi,3.6,67,70,54,70,72,68,58
Tiago Pombeira,2.3,82,74,61,68,76,36,28
R. Fardenal,1.8,46,45,36,62,51,68,68
R. Hennings,2.4,63,63,72,80,74,33,30
J. Speroni,0.16,48,12,13,20,43,17,12
Y. Bounou,2.1,38,20,14,25,34,12,20
T. Pledl,3.3,90,73,64,66,77,53,45
A. Hughes,0.325,43,47,34,48,24,68,75
J. Bamba,4.1,80,75,70,73,83,32,40
I. Dia,2.2,78,75,71,75,77,16,40
C. Ledesma,0.725,64,74,53,74,54,71,53
D. Kuciak,1.4,39,11,11,22,32,17,11
C. Coady,2.6,59,64,62,73,62,71,66
J. Gol,2.0,73,70,63,66,52,70,63
E. O'Kane,2.7,83,72,48,63,65,67,64
B. McKay,3.6,91,73,58,60,88,49,40
F. Klein,1.7,75,69,53,71,81,63,70
M. Putnocký,1.4,39,27,13,17,44,27,12
E. Toloza,1.5,80,65,66,75,92,22,17
G. Poblete,2.8,73,65,47,60,66,69,62
M. Coronel,2.2,51,42,29,62,51,65,69
P. Dummett,2.5,64,66,41,40,65,65,74
Carlitos,1.2,72,73,66,73,71,55,28
J. Bostock,3.1,70,68,69,76,66,63,43
Y. Sanogo,3.2,58,66,73,75,66,36,17
G. Gianniotas,3.2,83,73,65,71,80,34,22
J. Vaughan,2.4,77,65,71,72,80,48,30
E. Álvarez,2.7,73,68,40,66,70,69,70
S. Sunzu,2.2,66,39,23,38,74,67,71
T. Schick,2.5,73,73,68,73,74,49,50
A. Asiri,2.4,63,26,24,43,65,66,72
J. Sánchez,1.8,76,70,57,67,70,68,69
Carpio,0.9,83,53,42,65,82,71,67
R. Hassan,2.8,84,75,62,73,85,55,43
F. Hübner,2.4,52,32,40,62,54,72,68
E. Saveljich,2.6,37,39,28,47,64,67,73
R. Aguileda,1.8,65,22,23,45,51,77,75
R. Martin,1.6,43,53,47,68,55,73,75
O. Boscagli,3.6,63,66,23,39,67,72,72
N. Maupay,3.7,84,74,73,69,77,26,29
F. Calvo,2.4,61,62,34,55,69,71,74
Xavi Torres,1.8,59,58,49,80,49,76,64
E. Bourgaud,2.3,72,73,67,68,70,35,46
S. Medina,2.5,73,62,49,50,73,70,70
K. Diks,3.0,71,64,23,58,77,72,71
R. Baderos,2.1,41,44,37,55,44,62,77
A. Büyük,2.4,82,72,73,71,77,37,16
Felipe,1.8,51,52,24,76,41,62,65
D. Jones,1.8,63,66,62,61,63,74,65
G. Belaud,1.7,83,63,44,47,75,66,66
Seoane,0.725,58,49,29,69,58,75,69
M. Cahais,1.8,57,50,34,64,53,71,72
Ricardo Lopes,2.8,77,69,73,71,79,33,31
Iñigo Pérez,1.8,75,59,59,72,66,60,68
M. Rangel,3.0,71,64,75,73,66,32,24
S. Hogan,3.1,71,70,75,67,90,27,11
D. Cools,3.0,64,67,48,74,73,66,66
M. Dąbrowski,1.8,30,60,34,75,52,69,62
M. Pintilii,0.0,63,52,60,76,66,74,72
G. Sandoval,3.4,83,73,60,65,81,55,53
M. Kamiński,2.5,64,59,53,69,78,69,72
B. Diawara,2.4,78,65,64,80,74,24,15
C. Salom,2.3,64,70,71,73,80,31,15
Jorge Sáenz,4.7,56,59,35,52,66,68,70
J. Kiełb,2.3,79,70,72,71,85,38,22
D. McGoldrick,2.4,74,76,67,72,68,25,30
Y. Mokhtar,2.8,81,74,60,56,73,31,36
N. Leali,2.2,34,13,13,24,32,25,12
L. Aveldaño,1.6,55,33,49,71,62,67,70
J. Aldunsate,2.1,62,61,46,68,63,74,66
A. Soto,2.8,71,75,33,44,76,66,71
M. Basha,2.2,72,65,49,74,65,71,60
D. Cvetinović,2.2,63,53,41,60,66,65,71
E. Başsan,3.0,79,73,66,74,79,0,13
V. Fiorillo,1.6,32,14,15,23,42,15,11
M. Henriksen,3.0,66,70,69,76,69,64,64
Germán,1.8,47,51,40,65,62,65,67
M. Kone,2.7,75,70,60,69,73,69,62
F. Holland,2.3,75,63,38,59,73,63,77
Paulolettinho,1.4,71,75,61,61,81,45,21
S. Malezas,1.4,51,44,26,50,54,71,74
L. Fariña,2.9,76,74,63,70,72,49,43
J. Cornejo,2.3,79,67,48,77,81,72,65
C. Luna,1.1,71,65,72,76,53,45,15
E. Arévalo Ríos,0.55,72,60,51,63,66,77,69
B. Zuculini,3.2,69,73,55,80,70,69,65
E. Horvath,2.8,54,16,17,21,49,10,12
M. Stoppelkamp,2.2,75,72,65,76,77,56,47
S. Çikalleshi,2.8,37,64,75,77,70,30,22
A. Vaņins,0.16,31,13,14,26,41,22,16
A. Papadopoulos,1.4,68,56,45,63,51,68,69
J. Arandero,1.8,81,58,57,80,74,77,63
T. Taiwo,1.3,63,62,42,89,81,64,68
N. De Pauw,2.5,72,71,69,73,74,49,25
Gaztañaga,2.6,59,45,38,42,51,72,67
R. Thomas,3.3,75,77,52,70,77,65,39
Alex das Freitas,1.8,67,63,49,60,64,76,68
D. Dessena,2.2,71,70,55,73,66,74,60
João Diogo,1.8,73,66,51,61,76,68,70
M. Bjärsmyr,1.6,56,37,28,47,61,72,76
J. Poulsen,1.4,73,65,63,73,64,64,44
A. Salvamanos,2.1,60,67,30,74,68,68,71
V. Fayzulin,1.6,74,72,62,68,63,73,63
P. Rodríguez,2.5,82,72,63,65,78,42,30
J. Mauri,3.3,89,75,40,64,68,68,54
N. Bärkroth,2.8,86,76,58,79,84,25,23
J. Madueña,2.2,76,77,42,60,84,64,65
I. Seck,2.0,46,45,31,70,55,80,66
L. Kelly,4.0,91,66,63,66,68,53,57
S. Bertoli,0.16,38,14,19,25,33,11,8
E. Juárez,1.8,68,64,48,64,76,68,68
R. Aït Atmane,2.8,54,60,46,66,51,74,60
M. Barthelmé,2.4,73,72,53,45,74,64,65
C. Schulz,0.725,58,48,31,70,52,74,67
Ji Dong Won,3.0,74,74,69,72,75,49,15
D. Rotariu,3.5,70,77,68,70,73,30,31
A. Hoffmann,2.6,58,51,29,61,51,70,71
G. Valsvik,2.8,33,35,38,69,50,72,70
C. M'Bengue,1.9,67,63,45,56,70,72,68
A. Al Khaibari,1.6,67,53,37,68,73,74,72
H. Palacios,2.7,68,63,27,65,90,59,63
William,3.0,78,71,32,42,75,72,68
Oier,1.8,48,20,14,20,43,30,17
A. Haghighi,1.6,50,14,14,17,37,25,16
B. Nieuwkoop,3.0,63,64,29,65,78,65,69
C. Gönen,1.8,48,13,18,18,47,19,12
Kim Min Woo,2.5,73,69,61,66,72,66,62
E. Aguirre,3.6,78,68,41,72,87,67,67
Edu Machado,2.0,72,68,34,71,75,69,69
Álvaro,3.3,68,77,60,75,79,48,50
M. Knaller,1.5,38,13,12,15,44,22,12
H. Dean,2.6,57,44,25,60,51,67,69
Baena,2.2,45,60,46,66,44,74,71
E. Cocalić,1.8,44,48,28,53,39,72,71
E. Insúa,2.4,67,68,55,72,75,68,68
C. Bryson,2.2,83,66,65,72,69,70,67
C. Vendoval,2.3,82,74,61,68,76,36,28
Lee Dong Gook,0.85,65,67,70,75,66,33,12
C. Pellerano,1.0,60,65,65,73,56,75,70
S. Logan,1.8,83,69,41,56,81,65,69
Z. Korcsmár,2.2,52,36,28,68,83,70,63
D. Hernández,3.1,81,69,60,64,74,32,38
José Arnáiz,3.6,80,74,71,72,83,29,25
E. Villa,1.1,63,62,74,71,46,45,36
D. Ndongala,2.8,90,78,52,60,83,28,18
T. Okriashvili,3.1,74,77,63,65,73,22,33
Nathan,3.5,79,84,67,70,76,18,24
M. Jonckheere,2.7,72,67,57,66,63,65,47
J. Martins Pereira,1.6,67,69,39,55,65,68,70
J. van den Berg,1.6,55,62,59,68,51,73,66
M. Barragán,3.0,76,68,71,70,75,31,31
C. Fierro,3.2,89,73,70,67,91,35,28
Mika,2.1,32,19,13,17,32,22,13
S. Ribas,2.4,72,71,74,77,72,20,26
A. Sapeta,2.2,64,65,62,56,63,71,67
J. Morrow,1.8,65,65,59,70,76,69,68
João Teixeira,3.2,74,74,53,66,77,60,54
S. Nakamura,0.65,76,70,65,79,29,33,20
Cláudio Ramos,2.3,27,15,14,19,35,17,18
J. Cuffaut,1.8,74,57,33,30,73,63,65
A. Tighadouini,3.2,72,77,74,79,70,26,30
M. González,0.8,72,75,71,78,60,60,50
V. Kjartansson,0.0,62,62,76,69,73,25,14
R. Coetzee,0.0,44,61,23,34,73,80,80
A. Abrashi,2.0,82,60,53,74,65,73,70
P. Arriola,3.2,83,74,63,68,86,39,45
F. Campbell,2.4,76,71,73,70,75,22,32
Suso Santana,1.8,84,74,62,58,85,49,49
M. Formica,2.3,75,76,66,72,76,33,23
Djaniny,2.8,69,76,69,70,85,47,23
J. Obita,2.8,78,67,60,68,80,65,70
D. Asprilla,2.4,63,76,68,73,72,29,31
J. Ikoné,4.1,90,75,62,74,87,25,21
F. Lértora,2.4,62,64,52,59,65,67,77
Nsue,2.0,82,72,59,74,86,61,58
A. Rispoli,2.4,70,69,57,62,80,68,64
I. Pillud,1.6,62,62,34,74,85,64,68
P. Sané,3.2,71,72,73,74,79,22,22
Pita,1.4,45,58,59,79,30,66,65
J. Rosenthal,2.1,70,71,67,70,65,37,31
G. Koutroumpis,2.4,40,47,25,67,53,66,74
Adeilson Gesser,2.6,84,68,62,45,88,47,44
C. Peña,2.7,70,66,63,71,72,69,61
Y. Al Mosailem,1.2,49,16,14,22,46,13,15
J. Williams,3.2,91,78,64,61,68,39,48
A. Losilla,1.6,69,65,45,61,65,70,70
N. Zimling,1.4,68,0,0,0,42,0,68
M. Abdul Shafy,1.3,80,68,45,76,75,68,68
K. Sankaré,1.4,43,42,22,66,59,67,66
R. Mphahlele,2.2,59,64,24,32,72,69,72
Miguel Silva,2.3,21,8,5,21,50,7,5
K. Lee,2.3,65,67,65,53,69,64,66
B. Koita,2.8,69,74,67,78,80,27,12
Marcos Pizzelli,1.8,68,70,67,72,66,59,23
A. Bakasetas,3.1,72,65,70,77,72,44,40
Pozo,3.4,72,75,66,62,67,46,48
Derley,2.4,69,69,70,72,62,28,27
Heltinho Melo,1.4,78,75,58,46,80,58,52
Nascimentardo,2.3,74,73,64,49,81,42,41
P. Barrera,2.2,76,72,64,70,77,48,32
Marc Mateu,2.5,70,71,64,71,62,52,43
C. Coosemans,2.2,47,13,12,36,46,18,16
C. Cambon,1.8,56,53,48,52,68,69,69
Rogerinho,2.2,82,76,64,70,77,26,29
K. Kodro,3.4,58,71,73,73,68,32,15
D. Halfar,2.3,87,75,52,60,76,37,19
H. Goitom,1.9,50,67,69,71,55,49,46
P. Schiattarella,2.2,73,70,57,70,78,56,51
F. Caputo,2.4,82,63,72,69,86,14,15
S. Kurtuluş,1.8,51,64,40,51,68,72,74
R. Krunić,3.4,72,76,50,70,70,41,40
N. Bahoui,2.5,59,76,70,78,77,23,30
C. Diandy,2.4,67,66,43,61,69,70,66
M. Chanot,2.0,50,29,38,73,40,66,74
A. Parot,2.0,68,68,45,48,72,71,73
Álvaro García,3.2,80,78,65,64,91,22,14
A. Traoré,3.4,63,75,52,57,69,69,63
S. Viera,0.9500000000000001,45,7,8,33,37,22,9
M. Madl,1.8,63,53,40,68,61,71,70
A. Warda,0.0,65,76,60,63,78,18,31
M. Spiranovic,0.0,41,22,19,44,66,75,70
M. Albornoz,2.3,73,74,36,69,68,63,64
H. Yamada,2.4,81,73,64,64,71,58,45
C. Mandanne,1.9,91,72,71,72,75,36,32
L. Boyce,2.9,70,68,76,75,71,34,12
S. Yago,2.6,65,65,34,59,68,70,75
Hugo Rubiães,0.9500000000000001,78,67,55,74,64,76,67
Yannick Djaló,2.1,84,76,66,75,90,31,29
V. Nsimba,2.8,88,67,56,69,88,71,70
Emerson Avintes,2.6,75,68,69,71,63,21,20
R. Alioui,3.1,73,68,70,73,80,18,14
J. Dahlin,1.5,38,11,10,16,34,22,12
Martin Cordeia,1.4,68,67,64,79,53,45,21
V. Anita,1.9,82,70,53,61,72,71,65
D. Larsson,2.2,74,72,64,83,92,24,25
O. Alanís,1.9,50,57,33,69,55,70,74
Guarrotxena,3.4,77,70,68,81,77,53,55
Santos,2.1,83,70,72,70,83,33,46
E. Asante,2.4,93,68,64,67,95,47,41
H. Kage,2.5,80,80,61,73,78,55,57
J. Egan,2.7,60,59,43,62,71,70,67
D. Bassi,1.4,49,18,14,23,34,20,12
S. Bamba,1.4,34,54,27,47,65,74,66
C. Bolaños,1.4,78,72,63,71,69,34,31
M. Costanzo,2.3,80,66,62,75,62,63,38
S. Diallo,2.9,74,73,68,75,76,49,44
B. Röcker,2.2,43,29,20,62,49,65,72
A. Jahović,2.3,53,64,74,72,63,15,16
F. Fernández,3.1,71,65,73,68,68,19,15
Nílton,1.8,54,64,69,81,57,70,68
J. Palacios,2.2,80,60,56,59,86,67,65
C. Henao,2.2,44,38,30,75,53,80,71
F. Coltorti,0.325,31,12,19,22,34,22,11
C. Lepoint,1.8,44,61,66,72,58,71,66
R. Gómez,3.0,84,73,65,72,86,55,47
M. Caligiuri,0.9500000000000001,72,62,50,68,66,69,75
J. Hoogma,4.0,65,45,23,47,66,73,71
Marlion Rolim,2.6,72,64,70,58,71,65,57
M. Correia,1.9,63,58,38,44,66,72,71
K. Akpoguma,3.3,54,59,45,70,78,67,69
E. Torres,3.1,83,67,72,74,69,36,21
R. Quioto,2.8,85,72,67,68,84,31,13
S. Tkachev,2.4,70,71,68,80,72,25,29
P. Hosiner,2.4,75,70,72,68,79,13,13
Y. Karamoh,4.9,68,75,70,66,80,20,24
S. Chernik,1.6,32,11,5,17,17,6,7
L. Rosenior,1.3,69,69,50,64,69,71,70
M. Miloš,2.6,77,72,44,65,76,64,66
J. Lucumi,3.8,78,75,69,68,82,26,18
T. Matton,2.1,73,71,70,70,60,52,29
Alan Baró,1.4,65,35,34,75,69,68,69
S. Dimitrievski,2.8,44,18,20,20,38,21,20
A. Donis,4.1,78,76,74,69,77,20,23
Eltildo Bessa,1.5,93,73,71,62,85,26,28
S. Polter,3.0,58,65,72,75,76,24,15
F. Diagne,2.0,69,65,34,59,67,73,71
M. Poundjé,2.5,72,70,29,37,85,0,0
W. Ayoví,0.0,69,72,49,77,69,69,63
V. Procházka,0.9500000000000001,65,58,56,75,60,73,72
O. Barreto,3.2,85,74,65,71,80,18,14
J. Boye,1.8,65,54,36,43,63,68,66
A. Elek,0.0,52,58,64,65,62,71,72
T. Kister,1.8,38,32,21,52,63,66,71
N. Omladič,2.5,82,75,45,70,73,44,44
Nano,1.3,60,68,48,82,79,67,66
F. Klos,2.4,46,62,73,74,71,24,19
J. Tavernier,2.4,72,70,60,66,86,60,66
K. McLean,2.9,76,69,66,78,74,51,46
C. Galano,2.8,95,69,61,66,92,16,11
W. Dutoit,2.0,52,15,16,18,46,18,16
D. Bottinelli,2.2,78,67,57,76,59,58,25
A. Pearce,1.9,43,35,16,50,43,69,73
L. Unnerstall,2.0,19,16,13,14,37,21,10
M. Franke,2.7,37,48,24,49,53,69,69
Aleñà,5.0,66,78,55,35,57,52,43
F. Bustos,3.7,73,73,47,64,81,60,68
M. Mitrović,2.8,52,59,44,68,53,65,69
S. Morrison,2.5,57,43,22,52,53,67,67
A. Kashi,1.9,72,47,22,44,51,72,71
A. Luthe,1.5,42,12,12,23,50,21,15
B. Wright,2.8,60,48,39,46,64,67,71
G. Troupée,3.2,74,74,44,62,79,66,69
G. Aburjania,3.6,57,71,53,59,67,73,61
T. Pukki,2.8,82,71,70,70,80,27,15
O. Jiménez,1.7,30,15,13,17,33,22,10
J. Jones,2.4,78,74,57,64,84,65,66
M. García,4.2,82,78,73,60,67,21,22
V. Kavlak,1.9,69,70,62,82,64,73,63
T. Elphick,1.8,57,50,32,55,40,72,71
A. Sukhov,1.6,71,66,30,35,79,65,68
L. Mora,2.3,59,65,58,69,65,51,55
L. Mabiala,1.8,36,51,38,46,34,71,66
N. Kranjčar,1.8,67,74,63,74,58,26,32
Túlio Sandoiro,1.5,67,74,71,73,62,37,30
M. Domizzi,0.325,34,40,35,77,40,75,71
L. Wallace,1.8,83,62,50,58,80,70,66
F. Balmont,0.75,68,67,61,72,43,74,73
G. Ghazaryan,2.3,70,76,63,76,67,48,38
A. Baby,2.4,78,71,59,73,87,51,59
Pereirinha,1.8,78,72,59,66,78,71,67
M. Kieftenbeld,2.2,68,66,58,77,72,70,62
C. Embalo,3.5,86,74,58,68,90,12,12
A. Issoko,2.4,74,71,64,74,93,64,64
R. Amalfitano,2.5,68,72,65,56,63,57,49
I. Kiese Thelin,3.0,65,64,70,71,62,20,28
H. Al Moqahwi,2.3,73,72,67,63,49,58,62
K. Palmer,3.8,74,74,65,67,75,31,50
A. Harit,4.2,82,86,53,66,69,29,29
M. Günok,1.9,53,15,15,24,57,25,13
S. Malone,2.3,73,69,57,69,77,70,66
A. Camara,2.5,76,75,64,76,92,26,20
T. Asano,3.5,90,74,62,69,92,22,13
G. Berardi,1.9,71,60,26,60,75,70,72
K. Günter,2.8,58,56,23,50,69,68,72
S. Medojević,2.5,68,62,38,66,65,71,69
M. Grujić,5.0,56,67,70,75,71,70,66
N. Albiach,3.3,81,80,63,78,73,18,16
D. N'Doye,1.9,74,70,66,81,75,40,35
Carlinhos,3.5,72,75,58,74,73,40,40
P. Díaz,3.1,62,56,33,47,82,65,72
A. Zambo Anguissa,2.9,59,69,46,76,70,72,58
M. Williamson,0.9500000000000001,30,35,33,52,32,69,72
E. Elgueta,0.9500000000000001,78,67,55,74,64,76,67
S. Hanca,0.0,83,65,62,70,76,57,62
W. Troost-Ekong,2.7,34,24,23,36,74,71,70
S. Klaiber,2.6,68,62,48,76,76,69,68
J. Boga,3.8,81,75,64,80,72,41,43
D. Bent,1.5,73,62,73,76,66,23,21
D. Fagundez,3.2,87,78,66,72,77,30,36
R. Peradezes,1.2,28,24,19,18,16,17,13
A. Keogh,2.1,67,67,74,71,75,32,27
Pedro Moreira,2.4,57,66,55,72,52,72,66
R. Vitiello,0.725,69,47,47,53,64,76,71
D. Foulquier,2.6,66,76,47,59,80,70,63
Y. Okubo,1.1,78,70,72,77,57,13,13
A. Fuentoza,0.9,62,61,48,67,81,71,66
H. Dalsgaard,2.0,68,68,65,72,88,60,72
F. Bordagaray,2.3,63,72,75,68,75,40,26
T. Dingomé,2.4,76,71,57,70,70,71,69
W. Cestedo,1.6,39,8,6,21,37,11,8
Y. Ngbakoto,2.9,81,73,72,70,76,25,22
M. Riemann,1.9,45,23,12,16,45,28,13
Jung Jo Gook,1.5,61,61,77,68,66,23,15
N. Boilesen,2.5,71,73,37,71,76,70,69
A. Oyongo,2.4,90,74,49,68,81,65,64
H. Salazores,1.8,81,66,48,75,74,73,66
Marc Valiente,1.8,60,42,21,57,51,72,72
G. Varelinto,2.0,79,48,32,69,76,62,73
Borja Valle,3.0,75,76,69,71,76,40,38
K. Ayhan,3.0,66,62,35,83,67,64,70
Christian Rivera,4.6,60,65,41,62,56,70,63
André Milazisco,1.2,38,8,7,21,35,26,9
M. Colin,2.5,73,69,20,60,76,67,69
Martos,0.9500000000000001,65,59,28,47,61,80,71
A. Niz,1.8,57,34,39,56,69,71,72
A. Avlonitis,2.0,48,42,27,60,59,69,76
Marc Navarro,3.2,58,60,53,71,69,69,69
F. Jozefzoon,2.8,84,77,63,63,91,61,22
S. Moreira,2.8,74,63,24,42,70,73,72
D. Mosquera,2.6,61,59,27,57,84,68,67
S. Rieks,2.2,83,72,71,68,77,34,27
A. Akaichi,2.4,72,72,71,73,74,22,18
S. Bossut,1.4,47,11,13,40,47,17,18
J. Irvine,3.1,63,68,69,72,74,69,70
I. Mystakidis,3.4,71,73,71,69,78,32,33
A. Bouchalakis,3.0,66,66,60,79,69,61,61
Leonardo,3.0,78,74,70,71,77,33,27
C. Michelin,3.7,63,72,45,58,67,64,67
B. Kısa,1.2,64,74,67,81,49,58,54
G. Courtet,2.4,73,69,72,69,71,34,19
V. Cabrera,2.5,65,62,34,40,71,73,71
J. Silva,2.8,51,29,29,47,66,72,73
S. Grytebust,1.6,48,11,12,17,40,16,11
S. Celozzi,1.9,80,66,46,56,75,68,70
A. Wisdom,2.6,60,55,24,34,74,71,75
Melero,2.8,58,67,67,71,64,72,64
W. Sobota,2.2,90,72,61,72,90,46,32
I. Latovlevici,1.6,69,66,57,72,69,72,67
Y. Makarenko,2.4,68,67,47,69,76,68,69
M. Dabo,1.7,78,65,39,66,72,72,73
A. Reach,3.2,77,73,63,68,78,40,53
W. Benítez,2.4,36,15,14,25,48,21,19
João Talocha,2.0,64,65,31,51,74,78,68
F. Navarro,1.9,79,66,50,68,85,69,65
Abraham,1.6,72,71,41,69,74,71,66
C. Gunter,2.0,73,59,47,48,76,67,70
M. Abeid,3.0,67,75,67,75,65,65,62
C. Alzáte,2.3,86,68,59,66,83,22,37
C. Villagra,1.6,70,68,49,73,79,70,69
Kwon Soon Hyung,2.0,80,65,64,74,53,65,57
Aday Benítez,1.8,81,75,55,47,77,61,60
L. Wílchez,1.4,76,72,65,69,73,40,29
N. Camacho,0.0,76,71,67,78,74,44,40
Rhayner,2.5,84,78,62,68,90,41,56
Wiliam Santinho,1.2,21,9,8,21,34,28,11
L. Ruíz,3.9,76,71,71,74,66,19,12
K. Lafferty,2.4,63,66,68,74,66,14,33
André Leão,1.4,51,58,53,64,54,73,65
J. Guerrón,1.8,77,75,66,79,85,34,51
D. da Costa,2.6,69,72,39,57,78,60,67
L. Jans,2.5,73,69,39,65,75,68,69
H. Hateboer,2.6,64,57,26,70,75,62,69
