Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,Score_prom
M. Tekdemir,29,CDM ,73.0,73.0,73.0,71.0,71.0,70.0,70.0,72.0,72.0,72.0,69.0,69.0,69.0,65.0,65.0,66.0,66.0,66.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,Máximo potencial,68.27
Javi Castellano,29,CM CDM ,71.0,71.0,71.0,67.0,67.0,66.0,66.0,72.0,72.0,72.0,65.0,65.0,65.0,57.0,57.0,58.0,58.0,58.0,54.0,54.0,54.0,54.0,52.0,52.0,54.0,52.0,Máximo potencial,63.55
P. Olkowski,27,RM RB ,69.0,69.0,69.0,72.0,72.0,73.0,73.0,70.0,70.0,70.0,68.0,68.0,68.0,70.0,70.0,68.0,68.0,68.0,69.0,69.0,67.0,67.0,65.0,65.0,67.0,65.0,Máximo potencial,68.91
D. Quintero,29,RM ST ,44.0,44.0,44.0,50.0,50.0,54.0,54.0,52.0,52.0,52.0,67.0,67.0,67.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,72.0,72.0,74.0,72.0,Máximo potencial,66.09
M. Jimañez,29,LM CAM ST ,43.0,43.0,43.0,48.0,48.0,51.0,51.0,48.0,48.0,48.0,61.0,61.0,61.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,70.0,70.0,72.0,72.0,70.0,72.0,Máximo potencial,60.18
Luiz Araújo,21,CAM RW LW ,49.0,49.0,49.0,58.0,58.0,60.0,60.0,56.0,56.0,56.0,67.0,67.0,67.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,72.0,72.0,67.0,67.0,72.0,67.0,Joven promesa,66.55
J. Sala,25,CM RM RB ,71.0,71.0,71.0,72.0,72.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,70.0,70.0,68.0,68.0,70.0,68.0,Máximo potencial,71.73
C. Santos,29,CAM ST ,49.0,49.0,49.0,52.0,52.0,54.0,54.0,53.0,53.0,53.0,66.0,66.0,66.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,72.0,72.0,71.0,72.0,Máximo potencial,64.09
H. Behrens,27,CM CDM ,73.0,73.0,73.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,66.0,66.0,68.0,68.0,69.0,69.0,68.0,69.0,Máximo potencial,68.91
A. Thomasson,23,CM RM LM ,63.0,63.0,63.0,66.0,66.0,67.0,67.0,68.0,68.0,68.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,72.0,72.0,72.0,72.0,69.0,69.0,72.0,69.0,Máximo potencial,71.18
L. Mazzitelli,21,CM CDM ,68.0,68.0,68.0,69.0,69.0,70.0,70.0,72.0,72.0,72.0,73.0,73.0,73.0,70.0,70.0,70.0,70.0,70.0,68.0,68.0,68.0,68.0,64.0,64.0,68.0,64.0,Joven promesa,71.36
C. McGregor,24,CDM CAM ,50.0,50.0,50.0,58.0,58.0,61.0,61.0,59.0,59.0,59.0,69.0,69.0,69.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0,70.0,70.0,66.0,66.0,70.0,66.0,Máximo potencial,67.64
F. Hinestroza,27,RM LM ,53.0,53.0,53.0,61.0,61.0,62.0,62.0,57.0,57.0,57.0,66.0,66.0,66.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,71.0,71.0,70.0,70.0,71.0,70.0,Máximo potencial,66.0
F. Guilbert,22,RM RB ,72.0,72.0,72.0,72.0,72.0,72.0,72.0,70.0,70.0,70.0,65.0,65.0,65.0,65.0,65.0,62.0,62.0,62.0,63.0,63.0,61.0,61.0,60.0,60.0,61.0,60.0,Máximo potencial,65.55
S. Aigner,29,RM ,54.0,54.0,54.0,58.0,58.0,60.0,60.0,58.0,58.0,58.0,68.0,68.0,68.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,Máximo potencial,67.09
J. Colback,27,CM CDM ,70.0,70.0,70.0,70.0,70.0,71.0,71.0,72.0,72.0,72.0,69.0,69.0,69.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,65.0,62.0,62.0,65.0,62.0,Máximo potencial,68.45
A. Judge,28,LM CAM ,45.0,45.0,45.0,53.0,53.0,57.0,57.0,55.0,55.0,55.0,67.0,67.0,67.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,70.0,70.0,67.0,67.0,70.0,67.0,Máximo potencial,65.82
A. Marelos,33,LM ST ,43.0,43.0,43.0,49.0,49.0,52.0,52.0,50.0,50.0,50.0,66.0,66.0,66.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,Cercano al retiro,64.18
F. Falco,25,LW CAM ,40.0,40.0,40.0,49.0,49.0,53.0,53.0,51.0,51.0,51.0,67.0,67.0,67.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,70.0,70.0,66.0,66.0,70.0,66.0,Máximo potencial,64.73
N. Uysal,26,RB CB CDM ,73.0,73.0,73.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,69.0,69.0,69.0,67.0,67.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,64.0,64.0,65.0,64.0,Máximo potencial,68.64
D. Arias,32,CM CDM ,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,66.0,66.0,66.0,66.0,64.0,64.0,66.0,64.0,Cercano al retiro,68.91
J. Aterola,29,CAM LM ,46.0,46.0,46.0,57.0,57.0,60.0,60.0,55.0,55.0,55.0,65.0,65.0,65.0,72.0,72.0,70.0,70.0,70.0,71.0,71.0,68.0,68.0,63.0,63.0,68.0,63.0,Máximo potencial,64.91
Y. Erdoğan,24,RM LM ,61.0,61.0,61.0,67.0,67.0,69.0,69.0,64.0,64.0,64.0,67.0,67.0,67.0,72.0,72.0,71.0,71.0,71.0,73.0,73.0,72.0,72.0,70.0,70.0,72.0,70.0,Máximo potencial,68.18
W. Erviti,37,CM CAM ,56.0,56.0,56.0,60.0,60.0,63.0,63.0,65.0,65.0,65.0,72.0,72.0,72.0,70.0,70.0,72.0,72.0,72.0,70.0,70.0,69.0,69.0,64.0,64.0,69.0,64.0,Cercano al retiro,69.73
Quique,27,LM RM ST ,52.0,52.0,52.0,56.0,56.0,58.0,58.0,55.0,55.0,55.0,65.0,65.0,65.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,72.0,72.0,71.0,72.0,Máximo potencial,64.55
L. Janson,22,ST LM ,42.0,42.0,42.0,49.0,49.0,53.0,53.0,50.0,50.0,50.0,67.0,67.0,67.0,72.0,72.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,70.0,70.0,74.0,70.0,Máximo potencial,65.18
J. Zúñiga,31,LM LB ,68.0,68.0,68.0,72.0,72.0,73.0,73.0,70.0,70.0,70.0,71.0,71.0,71.0,74.0,74.0,73.0,73.0,73.0,74.0,74.0,72.0,72.0,69.0,69.0,72.0,69.0,Cercano al retiro,71.82
K. Rausch,27,LM LB ,69.0,69.0,69.0,72.0,72.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,71.0,71.0,71.0,72.0,72.0,71.0,71.0,69.0,69.0,71.0,69.0,Máximo potencial,71.91
D. Machado,23,LM LB ,67.0,67.0,67.0,72.0,72.0,72.0,72.0,67.0,67.0,67.0,67.0,67.0,67.0,71.0,71.0,68.0,68.0,68.0,69.0,69.0,67.0,67.0,64.0,64.0,67.0,64.0,Máximo potencial,68.0
S. Plavšić,21,RM RW ,36.0,36.0,36.0,51.0,51.0,55.0,55.0,45.0,45.0,45.0,61.0,61.0,61.0,71.0,71.0,69.0,69.0,69.0,73.0,73.0,71.0,71.0,67.0,67.0,71.0,67.0,Joven promesa,60.64
D. Villalva,24,CF ST LM ,42.0,42.0,42.0,53.0,53.0,56.0,56.0,50.0,50.0,50.0,65.0,65.0,65.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,73.0,73.0,70.0,70.0,73.0,70.0,Máximo potencial,64.36
J. Haberer,23,CAM CF ,52.0,52.0,52.0,58.0,58.0,61.0,61.0,59.0,59.0,59.0,70.0,70.0,70.0,72.0,72.0,73.0,73.0,73.0,72.0,72.0,73.0,73.0,70.0,70.0,73.0,70.0,Máximo potencial,68.18
Bueno,29,ST CAM ,48.0,48.0,48.0,52.0,52.0,55.0,55.0,53.0,53.0,53.0,65.0,65.0,65.0,69.0,69.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,72.0,72.0,73.0,72.0,Máximo potencial,64.36
S. Padoin,33,LB CM RB ,71.0,71.0,71.0,72.0,72.0,73.0,73.0,72.0,72.0,72.0,73.0,73.0,73.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,70.0,70.0,68.0,68.0,70.0,68.0,Cercano al retiro,72.0
A. Özbiliz,27,LM RM ,41.0,41.0,41.0,51.0,51.0,56.0,56.0,52.0,52.0,52.0,67.0,67.0,67.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,72.0,72.0,69.0,69.0,72.0,69.0,Máximo potencial,65.45
M. Veljković,21,CDM CB ,72.0,72.0,72.0,66.0,66.0,65.0,65.0,69.0,69.0,69.0,60.0,60.0,60.0,54.0,54.0,53.0,53.0,53.0,50.0,50.0,50.0,50.0,49.0,49.0,50.0,49.0,Joven promesa,59.45
I. Success,21,ST RM LM ,46.0,46.0,46.0,51.0,51.0,55.0,55.0,50.0,50.0,50.0,63.0,63.0,63.0,72.0,72.0,70.0,70.0,70.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,Joven promesa,63.0
I. Diomandé,24,CDM ,72.0,72.0,72.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,67.0,67.0,67.0,64.0,64.0,63.0,63.0,63.0,62.0,62.0,62.0,62.0,61.0,61.0,62.0,61.0,Máximo potencial,66.73
Alex López,29,CDM CM ,59.0,59.0,59.0,62.0,62.0,64.0,64.0,67.0,67.0,67.0,72.0,72.0,72.0,69.0,69.0,71.0,71.0,71.0,68.0,68.0,70.0,70.0,66.0,66.0,70.0,66.0,Máximo potencial,69.82
D. Kadah,31,CF CAM ,46.0,46.0,46.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,67.0,67.0,67.0,71.0,71.0,72.0,72.0,72.0,71.0,71.0,73.0,73.0,74.0,74.0,73.0,74.0,Cercano al retiro,65.0
B. Bjarnason,29,RM CM CAM LM ,64.0,64.0,64.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,Máximo potencial,70.36
D. Gosling,27,CM ,68.0,68.0,68.0,68.0,68.0,69.0,69.0,71.0,71.0,71.0,72.0,72.0,72.0,69.0,69.0,70.0,70.0,70.0,69.0,69.0,70.0,70.0,68.0,68.0,70.0,68.0,Máximo potencial,70.64
S. Sow,28,CDM ,71.0,71.0,71.0,69.0,69.0,70.0,70.0,72.0,72.0,72.0,69.0,69.0,69.0,66.0,66.0,65.0,65.0,65.0,63.0,63.0,63.0,63.0,60.0,60.0,63.0,60.0,Máximo potencial,68.18
H. Yebda,33,CM CDM ,72.0,72.0,72.0,65.0,65.0,65.0,65.0,72.0,72.0,72.0,69.0,69.0,69.0,62.0,62.0,64.0,64.0,64.0,60.0,60.0,63.0,63.0,63.0,63.0,63.0,63.0,Cercano al retiro,67.18
Alex Berenguer,21,LM LWB RWB ,65.0,65.0,65.0,71.0,71.0,72.0,72.0,68.0,68.0,68.0,68.0,68.0,68.0,73.0,73.0,70.0,70.0,70.0,72.0,72.0,71.0,71.0,68.0,68.0,71.0,68.0,Joven promesa,69.45
Y. Kobayashi,29,LM RM ST ,42.0,42.0,42.0,52.0,52.0,56.0,56.0,50.0,50.0,50.0,64.0,64.0,64.0,72.0,72.0,71.0,71.0,71.0,73.0,73.0,73.0,73.0,72.0,72.0,73.0,72.0,Máximo potencial,63.55
J. Grealish,21,LM CAM ,41.0,41.0,41.0,51.0,51.0,56.0,56.0,53.0,53.0,53.0,67.0,67.0,67.0,71.0,71.0,72.0,72.0,72.0,71.0,71.0,69.0,69.0,63.0,63.0,69.0,63.0,Joven promesa,65.27
D. Pelkas,23,CM LM RM CAM ,37.0,37.0,37.0,50.0,50.0,55.0,55.0,51.0,51.0,51.0,67.0,67.0,67.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0,65.0,65.0,71.0,65.0,Máximo potencial,64.91
Lulinha,27,CM CAM ,50.0,50.0,50.0,57.0,57.0,60.0,60.0,57.0,57.0,57.0,66.0,66.0,66.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,72.0,72.0,70.0,70.0,72.0,70.0,Máximo potencial,66.27
M. Pugh,30,LM ,50.0,50.0,50.0,55.0,55.0,58.0,58.0,56.0,56.0,56.0,67.0,67.0,67.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,71.0,71.0,69.0,69.0,71.0,69.0,Máximo potencial,66.0
A. Lozano,24,CAM ST ,47.0,47.0,47.0,50.0,50.0,52.0,52.0,49.0,49.0,49.0,62.0,62.0,62.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,72.0,72.0,71.0,72.0,Máximo potencial,61.91
E. Bardhi,21,CM CAM ,45.0,45.0,45.0,53.0,53.0,56.0,56.0,54.0,54.0,54.0,67.0,67.0,67.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,72.0,72.0,69.0,69.0,72.0,69.0,Joven promesa,65.73
R. Neustädter,29,CDM CB ,72.0,72.0,72.0,68.0,68.0,68.0,68.0,72.0,72.0,72.0,70.0,70.0,70.0,62.0,62.0,64.0,64.0,64.0,60.0,60.0,61.0,61.0,60.0,60.0,61.0,60.0,Máximo potencial,67.45
M. Rzatkowski,27,CAM CDM CM ,58.0,58.0,58.0,66.0,66.0,69.0,69.0,67.0,67.0,67.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,70.0,70.0,64.0,64.0,70.0,64.0,Máximo potencial,70.36
B. Pearson,22,CM CDM ,71.0,71.0,71.0,68.0,68.0,69.0,69.0,72.0,72.0,72.0,67.0,67.0,67.0,65.0,65.0,64.0,64.0,64.0,62.0,62.0,62.0,62.0,60.0,60.0,62.0,60.0,Máximo potencial,67.18
Carmona,29,CM CAM RM ,53.0,53.0,53.0,59.0,59.0,63.0,63.0,61.0,61.0,61.0,70.0,70.0,70.0,72.0,72.0,71.0,71.0,71.0,70.0,70.0,69.0,69.0,67.0,67.0,69.0,67.0,Máximo potencial,68.18
D. Marcq,28,CM CDM ,72.0,72.0,72.0,68.0,68.0,67.0,67.0,72.0,72.0,72.0,66.0,66.0,66.0,60.0,60.0,60.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,Máximo potencial,64.91
L. Villafañez,25,RM CAM ,44.0,44.0,44.0,54.0,54.0,58.0,58.0,54.0,54.0,54.0,67.0,67.0,67.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0,67.0,67.0,71.0,67.0,Máximo potencial,65.73
D. Brašanac,25,RM CM ,67.0,67.0,67.0,66.0,66.0,66.0,66.0,70.0,70.0,70.0,72.0,72.0,72.0,68.0,68.0,70.0,70.0,70.0,67.0,67.0,70.0,70.0,69.0,69.0,70.0,69.0,Máximo potencial,70.18
L. Blas,19,RM ,60.0,60.0,60.0,64.0,64.0,66.0,66.0,64.0,64.0,64.0,69.0,69.0,69.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,70.0,70.0,67.0,67.0,70.0,67.0,Joven promesa,68.73
M. Büchel,26,CDM CM ,63.0,63.0,63.0,67.0,67.0,69.0,69.0,69.0,69.0,69.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,70.0,70.0,69.0,69.0,64.0,64.0,69.0,64.0,Máximo potencial,70.73
R. Fraser,23,LM RM ,47.0,47.0,47.0,57.0,57.0,61.0,61.0,55.0,55.0,55.0,65.0,65.0,65.0,72.0,72.0,71.0,71.0,71.0,73.0,73.0,70.0,70.0,63.0,63.0,70.0,63.0,Máximo potencial,65.18
O. Hiljemark,25,CDM CM ,66.0,66.0,66.0,67.0,67.0,68.0,68.0,71.0,71.0,71.0,72.0,72.0,72.0,68.0,68.0,69.0,69.0,69.0,66.0,66.0,68.0,68.0,65.0,65.0,68.0,65.0,Máximo potencial,70.18
Evandro,30,CAM CM ,58.0,58.0,58.0,61.0,61.0,63.0,63.0,64.0,64.0,64.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,72.0,72.0,70.0,70.0,72.0,70.0,Máximo potencial,70.27
L. Marrone,27,CB CDM ,71.0,71.0,71.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,70.0,70.0,70.0,65.0,65.0,66.0,66.0,66.0,64.0,64.0,64.0,64.0,63.0,63.0,64.0,63.0,Máximo potencial,68.55
V. Claesson,25,CM LM CAM ,50.0,50.0,50.0,57.0,57.0,61.0,61.0,60.0,60.0,60.0,70.0,70.0,70.0,71.0,71.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,68.0,68.0,71.0,68.0,Máximo potencial,68.0
Granell,28,CM ,65.0,65.0,65.0,67.0,67.0,69.0,69.0,70.0,70.0,70.0,72.0,72.0,72.0,71.0,71.0,72.0,72.0,72.0,71.0,71.0,70.0,70.0,67.0,67.0,70.0,67.0,Máximo potencial,71.27
Hernani,23,CM CDM ,71.0,71.0,71.0,69.0,69.0,69.0,69.0,72.0,72.0,72.0,71.0,71.0,71.0,68.0,68.0,70.0,70.0,70.0,68.0,68.0,70.0,70.0,69.0,69.0,70.0,69.0,Máximo potencial,70.45
Adama,21,RW RM ,41.0,41.0,41.0,49.0,49.0,54.0,54.0,48.0,48.0,48.0,60.0,60.0,60.0,72.0,72.0,68.0,68.0,68.0,73.0,73.0,70.0,70.0,68.0,68.0,70.0,68.0,Joven promesa,61.09
O. Duda,22,CAM ,45.0,45.0,45.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,67.0,67.0,67.0,71.0,71.0,72.0,72.0,72.0,71.0,71.0,70.0,70.0,65.0,65.0,70.0,65.0,Máximo potencial,65.55
F. Forestieri,27,LM ST ,51.0,51.0,51.0,56.0,56.0,58.0,58.0,56.0,56.0,56.0,68.0,68.0,68.0,73.0,73.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,72.0,72.0,74.0,72.0,Máximo potencial,67.27
T. Simons,40,CB CM CDM ,72.0,72.0,72.0,66.0,66.0,66.0,66.0,72.0,72.0,72.0,68.0,68.0,68.0,59.0,59.0,61.0,61.0,61.0,56.0,56.0,60.0,60.0,60.0,60.0,60.0,60.0,Cercano al retiro,65.55
M. Rancoret,25,CDM CB ,72.0,72.0,72.0,63.0,63.0,61.0,61.0,68.0,68.0,68.0,58.0,58.0,58.0,51.0,51.0,53.0,53.0,53.0,49.0,49.0,50.0,50.0,52.0,52.0,50.0,52.0,Máximo potencial,58.09
G. Sansone,30,CAM ST LW ,41.0,41.0,41.0,51.0,51.0,54.0,54.0,48.0,48.0,48.0,63.0,63.0,63.0,71.0,71.0,71.0,71.0,71.0,73.0,73.0,72.0,72.0,70.0,70.0,72.0,70.0,Máximo potencial,62.55
S. Tibbling,22,CM ,63.0,63.0,63.0,67.0,67.0,69.0,69.0,69.0,69.0,69.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,70.0,70.0,68.0,68.0,63.0,63.0,68.0,63.0,Máximo potencial,70.73
M. Albæk,27,CDM CM ,64.0,64.0,64.0,65.0,65.0,67.0,67.0,70.0,70.0,70.0,72.0,72.0,72.0,68.0,68.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,65.0,65.0,67.0,65.0,Máximo potencial,69.91
J. Ito,24,RB RM ,62.0,62.0,62.0,68.0,68.0,70.0,70.0,64.0,64.0,64.0,67.0,67.0,67.0,72.0,72.0,70.0,70.0,70.0,72.0,72.0,70.0,70.0,68.0,68.0,70.0,68.0,Máximo potencial,67.91
Borja García,26,LM ST CM ,62.0,62.0,62.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,72.0,72.0,69.0,69.0,72.0,69.0,Máximo potencial,71.09
D. Segoviniozo,25,CDM CB ,72.0,72.0,72.0,68.0,68.0,67.0,67.0,70.0,70.0,70.0,65.0,65.0,65.0,61.0,61.0,62.0,62.0,62.0,60.0,60.0,61.0,61.0,63.0,63.0,61.0,63.0,Máximo potencial,64.82
J. Clément,32,CM CDM ,71.0,71.0,71.0,69.0,69.0,68.0,68.0,72.0,72.0,72.0,69.0,69.0,69.0,63.0,63.0,64.0,64.0,64.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,Cercano al retiro,67.36
M. Bakalorz,27,CM CDM ,72.0,72.0,72.0,69.0,69.0,68.0,68.0,72.0,72.0,72.0,69.0,69.0,69.0,65.0,65.0,66.0,66.0,66.0,64.0,64.0,66.0,66.0,67.0,67.0,66.0,67.0,Máximo potencial,68.27
R. Holzhauser,24,CM CDM ,68.0,68.0,68.0,66.0,66.0,68.0,68.0,72.0,72.0,72.0,73.0,73.0,73.0,69.0,69.0,70.0,70.0,70.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,Máximo potencial,71.18
Kim Seung Joon,22,RW LM ,38.0,38.0,38.0,50.0,50.0,54.0,54.0,48.0,48.0,48.0,64.0,64.0,64.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,71.0,71.0,69.0,69.0,71.0,69.0,Máximo potencial,63.0
J. Jones,35,CDM CM ,74.0,74.0,74.0,71.0,71.0,71.0,71.0,74.0,74.0,74.0,72.0,72.0,72.0,70.0,70.0,70.0,70.0,70.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,Cercano al retiro,71.64
M. Frantz,30,RM CDM CM ,68.0,68.0,68.0,70.0,70.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0,70.0,70.0,70.0,69.0,69.0,69.0,69.0,67.0,67.0,69.0,67.0,Máximo potencial,71.27
Oswaldito Cuba,33,LM CAM LB ,64.0,64.0,64.0,72.0,72.0,73.0,73.0,68.0,68.0,68.0,71.0,71.0,71.0,74.0,74.0,72.0,72.0,72.0,74.0,74.0,72.0,72.0,69.0,69.0,72.0,69.0,Cercano al retiro,71.0
A. Limbombe,22,LW LM ,35.0,35.0,35.0,48.0,48.0,53.0,53.0,45.0,45.0,45.0,61.0,61.0,61.0,72.0,72.0,69.0,69.0,69.0,73.0,73.0,70.0,70.0,67.0,67.0,70.0,67.0,Máximo potencial,60.82
A. Mvuemba,32,CDM CM ,68.0,68.0,68.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,69.0,69.0,69.0,69.0,68.0,68.0,69.0,68.0,Cercano al retiro,71.27
K. McDonald,28,CM CDM ,69.0,69.0,69.0,69.0,69.0,70.0,70.0,72.0,72.0,72.0,72.0,72.0,72.0,69.0,69.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,65.0,65.0,67.0,65.0,Máximo potencial,70.64
J. Cabot,23,ST LM RM ,40.0,40.0,40.0,52.0,52.0,56.0,56.0,49.0,49.0,49.0,62.0,62.0,62.0,72.0,72.0,70.0,70.0,70.0,74.0,74.0,72.0,72.0,68.0,68.0,72.0,68.0,Máximo potencial,62.45
D. Musto,30,CDM ,71.0,71.0,71.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,69.0,69.0,69.0,62.0,62.0,63.0,63.0,63.0,60.0,60.0,61.0,61.0,59.0,59.0,61.0,59.0,Máximo potencial,66.91
Douglas Luiz,19,CDM CM ,71.0,71.0,71.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,72.0,72.0,72.0,70.0,70.0,70.0,70.0,70.0,69.0,69.0,69.0,69.0,66.0,66.0,69.0,66.0,Joven promesa,71.36
J. Ermeño,25,CM CDM ,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,70.0,70.0,70.0,67.0,67.0,67.0,67.0,67.0,65.0,65.0,66.0,66.0,64.0,64.0,66.0,64.0,Máximo potencial,69.18
Z. Machach,21,CM LM CAM ,63.0,63.0,63.0,65.0,65.0,67.0,67.0,66.0,66.0,66.0,70.0,70.0,70.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0,69.0,69.0,71.0,69.0,Joven promesa,70.0
D. Rodríguez,27,CM CDM ,72.0,72.0,72.0,71.0,71.0,70.0,70.0,72.0,72.0,72.0,65.0,65.0,65.0,62.0,62.0,61.0,61.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,Máximo potencial,65.27
K. Frei,23,RM LM ,45.0,45.0,45.0,54.0,54.0,57.0,57.0,53.0,53.0,53.0,65.0,65.0,65.0,72.0,72.0,72.0,72.0,72.0,74.0,74.0,72.0,72.0,68.0,68.0,72.0,68.0,Máximo potencial,64.91
Sergi Samper,22,CM CDM ,65.0,65.0,65.0,64.0,64.0,66.0,66.0,72.0,72.0,72.0,72.0,72.0,72.0,64.0,64.0,67.0,67.0,67.0,61.0,61.0,62.0,62.0,55.0,55.0,62.0,55.0,Máximo potencial,69.18
R. Lod,24,RM CAM ,53.0,53.0,53.0,58.0,58.0,61.0,61.0,60.0,60.0,60.0,68.0,68.0,68.0,71.0,71.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,70.0,70.0,71.0,70.0,Máximo potencial,67.45
M. Lacen,33,CM CDM ,68.0,68.0,68.0,66.0,66.0,67.0,67.0,72.0,72.0,72.0,71.0,71.0,71.0,66.0,66.0,68.0,68.0,68.0,65.0,65.0,65.0,65.0,63.0,63.0,65.0,63.0,Cercano al retiro,69.55
D. Gray,21,LM ,36.0,36.0,36.0,49.0,49.0,54.0,54.0,47.0,47.0,47.0,63.0,63.0,63.0,72.0,72.0,71.0,71.0,71.0,74.0,74.0,71.0,71.0,66.0,66.0,71.0,66.0,Joven promesa,62.45
P. Etebo,21,CAM ST LM ,40.0,40.0,40.0,48.0,48.0,52.0,52.0,46.0,46.0,46.0,63.0,63.0,63.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,74.0,74.0,73.0,73.0,74.0,73.0,Joven promesa,62.45
P. Chavarría,29,RM ST ,51.0,51.0,51.0,56.0,56.0,59.0,59.0,56.0,56.0,56.0,67.0,67.0,67.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,Máximo potencial,66.27
Ademilson,23,RM ST ,47.0,47.0,47.0,52.0,52.0,54.0,54.0,51.0,51.0,51.0,63.0,63.0,63.0,71.0,71.0,71.0,71.0,71.0,73.0,73.0,73.0,73.0,72.0,72.0,73.0,72.0,Máximo potencial,63.36
E. Prib,27,CM LB LM ,65.0,65.0,65.0,69.0,69.0,71.0,71.0,68.0,68.0,68.0,71.0,71.0,71.0,72.0,72.0,71.0,71.0,71.0,72.0,72.0,71.0,71.0,68.0,68.0,71.0,68.0,Máximo potencial,70.36
A. Adnan,23,LM LB ,69.0,69.0,69.0,72.0,72.0,73.0,73.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,69.0,69.0,70.0,69.0,Máximo potencial,69.91
