Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,GK
G. Makaridze,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.8
M. Michel,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.8
M. Rocora,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.0
O. Rybka,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.0
H. Donadell,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
R. Pasveer,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.4
Jaim Abra,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.6
Freder Cabral,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.2
D. Barreto,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.2
F. Rønnow,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.4
Muriel,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.0
V. Belec,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.8
Alberto,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.6
S. Elana,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.0
B. Myhill,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.4
T. Sippel,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.2
A. Isaksson,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.4
N. Douchez,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.0
O. Nyland,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.8
M. Banguera,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.4
T. Kuszczak,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.0
R. Gurtner,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.0
M. Fraga,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.0
R. Boffin,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.6
H. González,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.0
A. Smithies,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.2
S. Lung Jr.,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.2
W. Faríñez,19,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,72.6
K. Nordfeldt,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.4
J. Hansen,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,58.4
J. García,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
Charles,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
L. Chichizola,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.0
G. Loria,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
A. Shunin,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.2
B. Guzan,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.4
E. Del Carro,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.6
M. Shevchenko,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.4
R. Mantores,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.2
Kim Seung Gyu,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.8
M. Bizot,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.4
L. Castellanos,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.0
Pierrino Faria,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.0
Nivo Serpinho,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
Raúl Lizoain,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.8
T. Zengin,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.6
N. Penneteau,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
A. Al-Habsi,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.2
David Soria,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.0
A. Micai,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.4
D. Randolph,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
M. Hansen,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.8
M. Al Owais,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
L. Grant,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.0
R. Ruiter,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.2
A. Federici,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.6
A. El-Shenawy,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.4
A. Gomis,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.2
R. Green,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.8
Guaita,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.0
E. Kawashima,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,
M. Bunn,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
K. Stuhr-Ellegaard,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.4
A. Cordaz,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
Toño,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.2
T. Melia,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.8
E. Mulder,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.8
J. Ruddy,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.4
S. Pesyakov,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.2
S. Ujkani,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
R. Gikiewicz,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.4
G. Pegolo,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.6
E. Lamanna,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
Rubén,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.6
Álex Remiro,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.4
P. Tschauner,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.4
Adriano Facchini,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.6
C. Campestrini,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.6
R. Jérez,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.4
A. Cragno,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.4
J. Gillet,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.2
J. Lewis,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
G. Ndy Assembe,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.6
A. Silva,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.0
B. Megyeri,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.6
E. Gorodov,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.0
E. Jakupović,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.0
L. Ardente,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.8
L. Robles,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.4
João Bruiñeira,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.0
M. Goicoechea,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.2
Moreira,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.6
Rafael Defendi,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.8
T. Didillon,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,70.0
M. Maignan,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,70.6
D. Rodríguez,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.0
Jordi Masip,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
W. Foderingham,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.2
F. Barridos,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.0
Vagner,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.2
M. Muñoz,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.8
F. Giefer,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
L. Álvarez,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
Edgar Badía,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.2
J. Prior,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,72.4
A. Martín Arias,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.6
F. Boeckx,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.8
Shin Hwa Yong,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.2
C. Rodríguez,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.4
Kwoun Sun Tae,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.2
P. Tytoń,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.8
M. Dupé,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.2
N. Rimando,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.2
J. Wiland,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.2
M. Higashiguchi,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.6
A. Hansen,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.2
Lee Ho Seung,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.4
Sergio Herrera,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.8
Y. Sanpian,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.2
C. Ripley,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.6
G. Parreses,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.4
E. Andrada,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
N. Fernández,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.4
C. Puggioni,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.0
P. Glykos,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
P. Kieszek,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.8
J. Speroni,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.2
Y. Bounou,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.4
D. Kuciak,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.2
M. Putnocký,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.2
N. Leali,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
V. Fiorillo,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
E. Horvath,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
A. Vaņins,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.8
S. Bertoli,39,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
Oier,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.0
A. Haghighi,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
C. Gönen,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.8
M. Knaller,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
Mika,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.2
Cláudio Ramos,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.2
Y. Al Mosailem,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.6
Miguel Silva,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
C. Coosemans,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.8
S. Viera,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
J. Dahlin,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.8
D. Bassi,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.6
F. Coltorti,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.2
S. Chernik,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
S. Dimitrievski,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.4
W. Dutoit,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.4
L. Unnerstall,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.0
A. Luthe,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
O. Jiménez,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
M. Günok,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.0
R. Peradezes,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
W. Cestedo,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.2
M. Riemann,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,28.8
André Milazisco,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.2
S. Bossut,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.8
S. Grytebust,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.6
W. Benítez,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.8
Wiliam Santinho,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.4
A. Domínguez,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
T. Kessler,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.8
D. Bentley,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.2
B. Drągowski,19,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,70.2
Kim Jin Hyeon,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.8
Cho Hyun Woo,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
Wang Dalei,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.8
H. Arıkan,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.6
I. Abaev,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.0
Juan Carlos,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
H. Lindner,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
R. Almer,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.4
Joel Pereira,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,69.2
N. Champagne,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.4
E. Conde,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
Nathael Silbeira,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
M. Männel,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.4
Eduardo Fonseira,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.2
S. Johnstone,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
R. Elliot,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.8
O. Pérez,44,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
D. Roef,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.6
Jung Sung Ryong,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.8
B. Leroy,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
A. Bogdán,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
C. Álvarez,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.0
A. Şahin,39,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.2
Jairo Farnias,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
A. Malarz,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.6
Z. Brkić,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
D. González,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
H. Van Crombrugge,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
O. Vlachodimos,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
Victor Fachinhas,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.4
Manu Herrera,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
Mejías,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.2
D. Keet,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
J. Mucha,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.4
J. Busk,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
R. Himmelmann,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
D. Verhulst,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.8
A. Ahamada,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
S. Nishikawa,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
Cifuentes,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.4
A. Walke,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.8
E. Unsain,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.8
K. Darlow,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
E. Dreer,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.6
A. Seculin,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
E. Martinez,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.2
P. Gollini,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
F. Agliardi,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.8
R. Di Gennaro,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
M. Gersbeck,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
G. Hubert,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
M. Langer,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.4
Munir,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
Yan Junling,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.0
António Filipe,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.4
J. Silva,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
A. Paschalakis,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.0
A. Diallo,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
A. Batalla,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,68.2
M. Gilks,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.8
D. Ward,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
M. García,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
P. Leciejewski,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.6
E. El Hadary,44,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.0
P. Gazzaniga,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.4
A. Lindegaard,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.4
M. Yıldırım,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
J. Chiarini,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.8
C. Ikeme,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.6
R. Kortsmit,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
René,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.4
H. Sogahata,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.0
Toño Ramirez,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
D. Mitov Nilsson,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.0
A. Adanuy,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.4
Adrián Ortolá,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.0
D. Dibusz,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
B. Lobonţ,39,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.6
F. Manojlović,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,69.4
M. Salvi,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
C. Maxwell,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.0
A. Brignoli,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
H. Sepulveño,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
J. Pollersbeck,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
André Moreira,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,69.4
B. Kamara,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,68.6
J. Fejzić,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.4
J. Carrasso,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
Y. Godzyur,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.2
Dani Giménez,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.4
D. Petrić,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
Rui Silva,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
F. Nita,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
J. Grahl,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
Yu Sang Hun,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
A. Lukse,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
L. Camp,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.4
D. Vukovic,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.2
J. Burić,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
S. Henderson,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.4
